Time	Node	Type	Packets	
41	3	CacheHits	0
41	3	CacheMisses	95
41	4	CacheHits	0
41	4	CacheMisses	95
42	0	CacheHits	0
42	0	CacheMisses	146
42	1	CacheHits	0
42	1	CacheMisses	106
42	2	CacheHits	0
42	2	CacheMisses	108
42	3	CacheHits	0
42	3	CacheMisses	106
42	4	CacheHits	0
42	4	CacheMisses	106
43	0	CacheHits	0
43	0	CacheMisses	147
43	1	CacheHits	0
43	1	CacheMisses	107
43	2	CacheHits	6
43	2	CacheMisses	105
43	3	CacheHits	0
43	3	CacheMisses	107
43	4	CacheHits	0
43	4	CacheMisses	107
44	0	CacheHits	0
44	0	CacheMisses	146
44	1	CacheHits	0
44	1	CacheMisses	105
44	2	CacheHits	0
44	2	CacheMisses	105
44	3	CacheHits	0
44	3	CacheMisses	105
44	4	CacheHits	0
44	4	CacheMisses	105
45	0	CacheHits	0
45	0	CacheMisses	147
45	1	CacheHits	0
45	1	CacheMisses	93
45	2	CacheHits	0
45	2	CacheMisses	94
45	3	CacheHits	0
45	3	CacheMisses	93
45	4	CacheHits	0
45	4	CacheMisses	93
46	0	CacheHits	0
46	0	CacheMisses	146
46	1	CacheHits	0
46	1	CacheMisses	92
46	2	CacheHits	0
46	2	CacheMisses	91
46	3	CacheHits	0
46	3	CacheMisses	89
46	4	CacheHits	0
46	4	CacheMisses	89
47	0	CacheHits	0
47	0	CacheMisses	147
47	1	CacheHits	0
47	1	CacheMisses	106
47	2	CacheHits	0
47	2	CacheMisses	106
47	3	CacheHits	0
47	3	CacheMisses	109
47	4	CacheHits	0
47	4	CacheMisses	109
48	0	CacheHits	0
48	0	CacheMisses	146
48	1	CacheHits	0
48	1	CacheMisses	95
48	2	CacheHits	0
48	2	CacheMisses	95
48	3	CacheHits	0
48	3	CacheMisses	95
48	4	CacheHits	0
48	4	CacheMisses	95
49	0	CacheHits	0
49	0	CacheMisses	147
49	1	CacheHits	19
49	1	CacheMisses	11
49	2	CacheHits	0
49	2	CacheMisses	11
49	3	CacheHits	0
49	3	CacheMisses	30
49	4	CacheHits	0
49	4	CacheMisses	11
50	0	CacheHits	0
50	0	CacheMisses	146
50	1	CacheHits	56
50	1	CacheMisses	0
50	2	CacheHits	0
50	2	CacheMisses	0
50	3	CacheHits	0
50	3	CacheMisses	56
50	4	CacheHits	0
50	4	CacheMisses	0
51	0	CacheHits	0
51	0	CacheMisses	147
51	1	CacheHits	54
51	1	CacheMisses	0
51	2	CacheHits	0
51	2	CacheMisses	0
51	3	CacheHits	0
51	3	CacheMisses	56
51	4	CacheHits	0
51	4	CacheMisses	0
52	0	CacheHits	0
